id,name,content_type_id,codename
1,Can add log entry,1,add_logentry
2,Can change log entry,1,change_logentry
3,Can delete log entry,1,delete_logentry
4,Can view log entry,1,view_logentry
5,Can add permission,2,add_permission
6,Can change permission,2,change_permission
7,Can delete permission,2,delete_permission
8,Can view permission,2,view_permission
9,Can add group,3,add_group
10,Can change group,3,change_group
11,Can delete group,3,delete_group
12,Can view group,3,view_group
13,Can add user,4,add_user
14,Can change user,4,change_user
15,Can delete user,4,delete_user
16,Can view user,4,view_user
17,Can add content type,5,add_contenttype
18,Can change content type,5,change_contenttype
19,Can delete content type,5,delete_contenttype
20,Can view content type,5,view_contenttype
21,Can add session,6,add_session
22,Can change session,6,change_session
23,Can delete session,6,delete_session
24,Can view session,6,view_session
25,Can add match stats,7,add_matchstats
26,Can change match stats,7,change_matchstats
27,Can delete match stats,7,delete_matchstats
28,Can view match stats,7,view_matchstats
29,Can add doubles match,8,add_doublesmatch
30,Can change doubles match,8,change_doublesmatch
31,Can delete doubles match,8,delete_doublesmatch
32,Can view doubles match,8,view_doublesmatch
33,Can add singles match,9,add_singlesmatch
34,Can change singles match,9,change_singlesmatch
35,Can delete singles match,9,delete_singlesmatch
36,Can view singles match,9,view_singlesmatch
37,Can add player,10,add_player
38,Can change player,10,change_player
39,Can delete player,10,delete_player
40,Can view player,10,view_player
41,Can add Token,11,add_token
42,Can change Token,11,change_token
43,Can delete Token,11,delete_token
44,Can view Token,11,view_token
45,Can add Token,12,add_tokenproxy
46,Can change Token,12,change_tokenproxy
47,Can delete Token,12,delete_tokenproxy
48,Can view Token,12,view_tokenproxy
