id,app,name,applied
1,contenttypes,0001_initial,2024-08-06 02:04:26.875996
2,auth,0001_initial,2024-08-06 02:04:28.016770
3,admin,0001_initial,2024-08-06 02:04:28.307984
4,admin,0002_logentry_remove_auto_add,2024-08-06 02:04:28.322659
5,admin,0003_logentry_add_action_flag_choices,2024-08-06 02:04:28.336169
6,contenttypes,0002_remove_content_type_name,2024-08-06 02:04:28.473753
7,auth,0002_alter_permission_name_max_length,2024-08-06 02:04:28.601671
8,auth,0003_alter_user_email_max_length,2024-08-06 02:04:28.637921
9,auth,0004_alter_user_username_opts,2024-08-06 02:04:28.651475
10,auth,0005_alter_user_last_login_null,2024-08-06 02:04:28.751558
11,auth,0006_require_contenttypes_0002,2024-08-06 02:04:28.757315
12,auth,0007_alter_validators_add_error_messages,2024-08-06 02:04:28.770773
13,auth,0008_alter_user_username_max_length,2024-08-06 02:04:28.884555
14,auth,0009_alter_user_last_name_max_length,2024-08-06 02:04:28.997363
15,auth,0010_alter_group_name_max_length,2024-08-06 02:04:29.028496
16,auth,0011_update_proxy_permissions,2024-08-06 02:04:29.041860
17,auth,0012_alter_user_first_name_max_length,2024-08-06 02:04:29.153586
18,players,0001_initial,2024-08-06 02:04:29.199639
19,matches,0001_initial,2024-08-06 02:04:29.731466
20,matches,0002_doublesmatch_matchstats_doubles_match_singlesmatch_and_more,2024-08-06 02:04:31.052814
21,matches,0003_remove_doublesmatch_score_remove_singlesmatch_score_and_more,2024-08-06 02:04:31.371515
22,matches,0004_alter_doublesmatch_winner_team,2024-08-06 02:04:31.382403
23,players,0002_alter_player_nationality_alter_player_ranking,2024-08-06 02:04:31.492464
24,players,0003_alter_player_date_of_birth_alter_player_ranking,2024-08-06 02:04:31.591447
25,players,0004_player_alias_alter_player_photo,2024-08-06 02:04:31.639553
26,players,0005_alter_player_photo,2024-08-06 02:04:31.649686
27,players,0006_player_gender,2024-08-06 02:04:31.695939
28,players,0007_alter_player_gender,2024-08-06 02:04:31.841109
29,players,0008_player_created_at_player_updated_at_and_more,2024-08-06 02:04:32.101788
30,players,0009_remove_player_updated_by,2024-08-06 02:04:32.251879
31,sessions,0001_initial,2024-08-06 02:04:32.325012
32,authtoken,0001_initial,2024-08-10 20:03:57.522714
33,authtoken,0002_auto_20160226_1747,2024-08-10 20:03:57.558157
34,authtoken,0003_tokenproxy,2024-08-10 20:03:57.565222
35,authtoken,0004_alter_tokenproxy_options,2024-08-10 20:03:57.574722
36,matches,0005_delete_matchstats,2024-08-10 20:03:57.613574
37,players,0010_alter_player_nationality,2024-08-10 20:03:57.624697
38,players,0011_player_matches_played,2024-08-10 20:03:57.691234
