id,date,winner_team,team1_player1_id,team1_player2_id,team2_player1_id,team2_player2_id,team1_score,team2_score
1,2024-08-06 06:29:00,Team 1,12,9,1,7,13,11
2,2024-08-06 06:32:00,Team 1,12,9,18,1,11,0
3,2024-08-06 06:33:00,Team 1,12,9,5,8,11,6
4,2024-08-06 06:41:00,Team 1,12,9,1,18,11,9
5,2024-08-06 06:44:00,Team 1,12,9,8,5,11,7
6,2024-08-06 06:45:00,Team 2,17,14,1,7,6,11
7,2024-08-06 06:49:00,Team 1,12,9,17,14,11,1
8,2024-08-06 06:51:00,Team 1,12,9,7,1,11,8
9,2024-08-06 06:52:00,Team 1,12,9,14,17,11,0
10,2024-08-06 06:53:00,Team 1,12,9,1,18,11,8
11,2024-08-06 06:57:00,Team 1,12,9,5,8,11,5
12,2024-08-06 06:58:00,Team 1,7,1,20,19,11,5
13,2024-08-06 07:00:00,Team 1,9,12,19,20,11,1
14,2024-08-06 07:01:00,Team 1,12,9,20,19,11,0
15,2024-08-06 07:06:00,Team 1,9,12,19,20,11,5
16,2024-08-06 14:57:00,Team 1,5,15,18,8,11,5
17,2024-08-06 15:01:00,Team 1,5,15,11,21,11,4
18,2024-08-06 15:01:00,Team 2,5,15,18,8,6,11
19,2024-08-06 15:02:00,Team 1,5,11,18,8,11,6
20,2024-08-06 15:03:00,Team 2,5,11,18,8,4,11
21,2024-08-06 15:03:00,Team 1,5,11,18,15,11,5
22,2024-08-06 15:04:00,Team 1,5,11,15,21,11,6
23,2024-08-06 15:04:00,Team 2,5,11,18,8,9,11
24,2024-08-06 01:20:00,Team 2,23,15,18,8,8,11
25,2024-08-06 01:20:00,Team 1,5,23,18,8,11,9
26,2024-08-07 06:24:00,Team 1,4,11,14,7,11,1
27,2024-08-07 06:25:00,Team 1,4,11,1,2,11,3
28,2024-08-07 06:26:00,Team 1,4,11,18,9,11,6
29,2024-08-07 06:27:00,Team 1,11,4,12,24,11,7
30,2024-08-07 06:34:00,Team 1,4,11,5,8,11,3
31,2024-08-07 06:36:00,Team 1,11,4,12,13,11,7
32,2024-08-07 06:37:00,Team 1,4,11,7,14,11,4
33,2024-08-07 06:43:00,Team 1,4,11,1,2,11,8
34,2024-08-07 06:44:00,Team 1,4,11,18,9,11,8
35,2024-08-07 06:48:00,Team 1,11,4,5,8,11,7
36,2024-08-07 06:51:00,Team 2,12,24,4,11,6,11
37,2024-08-07 06:55:00,Team 1,4,11,12,13,11,6
38,2024-08-08 19:10:00,Team 1,20,27,19,25,11,9
39,2024-08-08 19:11:00,Team 2,20,27,4,1,7,11
40,2024-08-08 19:11:00,Team 1,4,1,12,9,11,9
41,2024-08-08 19:12:00,Team 1,11,18,4,1,11,3
42,2024-08-08 19:13:00,Team 1,11,18,26,19,11,6
43,2024-08-08 19:14:00,Team 1,11,18,13,10,11,3
44,2024-08-08 19:14:00,Team 1,18,11,27,20,11,5
45,2024-08-08 19:15:00,Team 1,18,11,12,9,11,9
46,2024-08-08 19:16:00,Team 2,18,11,1,4,9,11
47,2024-08-08 19:16:00,Team 2,15,5,1,4,6,11
48,2024-08-08 19:17:00,Team 1,1,4,12,9,11,8
49,2024-08-08 14:17:00,Team 2,12,21,15,18,9,11
50,2024-08-08 14:20:00,Team 2,15,18,12,5,8,11
51,2024-08-08 13:05:00,Team 1,12,5,15,18,11,9
52,2024-08-08 13:15:00,Team 1,12,5,15,21,11,6
53,2024-08-08 13:20:00,Team 1,12,5,18,21,11,5
54,2024-08-08 13:25:00,Team 1,12,5,15,18,12,10
55,2024-08-08 13:30:00,Team 1,5,18,15,23,12,10
56,2024-08-08 13:30:00,Team 1,15,23,5,18,11,8
57,2024-08-08 13:35:00,Team 1,15,23,5,18,11,8
58,2024-08-08 13:40:00,Team 1,15,23,5,18,11,8
59,2024-08-08 13:45:00,Team 1,15,23,5,18,11,8
60,2024-08-08 13:50:00,Team 1,15,23,5,18,11,8
61,2024-08-09 11:15:00,Team 2,21,15,9,5,7,11
62,2024-08-09 13:20:00,Team 1,18,8,9,5,11,3
63,2024-08-09 13:55:00,Team 1,11,28,18,8,11,8
64,2024-08-09 13:30:00,Team 1,11,28,15,21,11,6
65,2024-08-09 13:35:00,Team 2,11,28,9,5,6,11
66,2024-08-09 13:58:00,Team 1,18,8,9,5,11,6
67,2024-08-09 13:45:00,Team 1,18,8,21,15,11,9
68,2024-08-09 13:50:00,Team 1,18,8,11,5,11,6
69,2024-08-09 13:55:00,Team 1,18,8,21,15,11,9
70,2024-08-10 14:00:00,Team 1,18,8,11,15,15,13
71,2024-08-09 14:05:00,Team 1,18,8,21,15,11,2
72,2024-08-10 14:10:00,Team 2,18,8,11,15,7,11
73,2024-08-09 14:15:00,Team 2,18,6,11,15,4,11
74,2024-08-09 14:20:00,Team 2,21,8,11,15,5,11
75,2024-08-09 14:25:00,Team 1,18,8,11,15,15,13
76,2024-08-11 03:42:00,Team 1,1,11,14,7,12,10
77,2024-08-11 03:43:00,Team 1,12,9,1,11,11,5
78,2024-08-11 03:43:00,Team 2,12,9,18,11,9,11
79,2024-08-11 03:44:00,Team 2,7,14,18,11,7,11
80,2024-08-11 03:44:00,Team 2,18,11,12,9,9,11
81,2024-08-11 03:45:00,Team 1,12,9,1,2,11,0
82,2024-08-11 03:45:00,Team 1,12,9,14,7,11,2
83,2024-08-11 03:46:00,Team 1,12,9,1,5,11,4
84,2024-08-11 03:46:00,Team 1,12,9,11,18,11,9
85,2024-08-11 04:26:00,Team 1,12,28,8,23,11,9
86,2024-08-11 04:26:00,Team 1,12,28,15,1,11,9
87,2024-08-11 04:27:00,Team 1,12,28,5,1,11,7
88,2024-08-11 04:27:00,Team 2,12,28,8,23,6,11
89,2024-08-11 04:28:00,Team 2,15,5,8,23,6,11
90,2024-08-11 04:28:00,Team 1,1,15,8,23,11,5
91,2024-08-11 04:28:00,Team 2,1,15,12,28,5,11
92,2024-08-11 04:29:00,Team 2,5,1,12,28,4,11
93,2024-08-11 04:29:00,Team 2,5,1,12,28,4,11
94,2024-08-11 04:30:00,Team 2,8,23,12,28,9,11
95,2024-08-11 04:30:00,Team 1,1,15,12,28,11,6
96,2024-08-11 04:31:00,Team 2,1,15,5,11,10,12
97,2024-08-11 04:31:00,Team 2,8,23,5,11,12,14
98,2024-08-11 04:32:00,Team 1,12,28,5,11,11,6
100,2024-08-11 04:34:00,Team 1,12,28,1,15,11,6
101,2024-08-11 04:34:00,Team 1,12,28,5,8,11,3
102,2024-08-11 04:35:00,Team 1,12,28,1,15,11,7
103,2024-08-11 04:35:00,Team 1,12,28,8,23,11,6
104,2024-08-12 06:00:00,Team 1,19,26,25,27,11,8
105,2024-08-12 14:42:00,Team 1,19,26,27,20,11,5
106,2024-08-12 14:43:00,Team 2,19,26,25,20,7,11
107,2024-08-12 14:44:00,Team 2,27,26,25,20,6,11
108,2024-08-12 14:44:00,Team 1,29,20,19,25,11,9
109,2024-08-12 17:31:00,Team 2,14,7,1,18,5,11
110,2024-08-12 17:31:00,Team 2,1,18,12,9,9,11
111,2024-08-12 17:32:00,Team 1,9,12,5,18,11,4
112,2024-08-12 17:32:00,Team 1,9,12,5,15,11,8
113,2024-08-12 17:33:00,Team 1,9,12,7,14,11,8
114,2024-08-12 17:33:00,Team 1,9,12,1,18,11,9
115,2024-08-12 17:34:00,Team 1,9,12,5,15,11,4
116,2024-08-12 17:35:00,Team 1,9,12,7,14,11,7
117,2024-08-12 17:35:00,Team 1,9,12,1,18,11,8
118,2024-08-12 17:35:00,Team 1,9,12,5,15,12,10
119,2024-08-12 12:00:00,Team 2,15,8,18,28,5,11
120,2024-08-12 12:10:00,Team 2,15,8,18,28,7,11
121,2024-08-12 12:20:00,Team 1,15,8,18,28,11,6
122,2024-08-12 12:25:00,Team 2,15,28,18,5,9,11
123,2024-08-12 12:25:00,Team 2,15,28,18,5,9,11
124,2024-08-12 12:30:00,Team 2,8,28,18,5,9,11
125,2024-08-13 06:05:00,Team 2,1,2,18,7,9,11
126,2024-08-13 07:52:00,Team 1,4,11,18,7,11,3
127,2024-08-13 07:53:00,Team 1,4,11,12,9,11,6
128,2024-08-13 07:53:00,Team 1,4,11,1,2,11,3
129,2024-08-13 07:54:00,Team 1,4,11,18,7,11,5
130,2024-08-13 07:54:00,Team 1,4,11,12,9,11,8
131,2024-08-13 07:56:00,Team 1,4,11,5,1,11,3
132,2024-08-13 07:56:00,Team 1,4,11,5,23,11,5
133,2024-08-13 07:57:00,Team 1,4,11,7,2,11,2
134,2024-08-13 07:57:00,Team 1,4,11,12,9,11,6
135,2024-08-14 09:51:00,Team 2,14,30,1,7,3,11
136,2024-08-14 09:52:00,Team 2,1,7,4,11,8,11
137,2024-08-14 09:52:00,Team 2,4,11,9,18,10,12
138,2024-08-14 09:53:00,Team 1,9,18,14,7,11,4
139,2024-08-14 09:53:00,Team 1,7,1,9,18,12,10
140,2024-08-14 09:53:00,Team 2,7,1,4,11,5,11
141,2024-08-14 09:54:00,Team 1,4,11,5,15,11,9
142,2024-08-14 09:54:00,Team 1,4,11,14,7,11,5
143,2024-08-14 09:55:00,Team 1,4,5,9,18,11,9
144,2024-08-15 07:06:00,Team 1,12,13,1,15,11,5
145,2024-08-15 07:06:00,Team 2,12,13,9,18,8,11
146,2024-08-15 07:07:00,Team 1,5,15,9,18,11,9
147,2024-08-15 07:13:00,Team 2,5,15,1,2,9,11
148,2024-08-15 07:15:00,Team 1,12,13,1,2,11,9
149,2024-08-15 07:15:00,Team 1,12,13,9,18,11,4
150,2024-08-15 07:16:00,Team 1,12,13,5,15,11,7
151,2024-08-15 07:17:00,Team 1,12,13,1,2,11,3
152,2024-08-15 11:00:00,Team 2,18,15,9,8,7,11
153,2024-08-15 11:05:00,Team 1,18,15,9,8,11,8
154,2024-08-15 11:10:00,Team 2,18,15,9,8,9,11
155,2024-08-15 11:15:00,Team 2,18,15,9,8,7,11
156,2024-08-15 11:20:00,Team 1,18,15,9,8,11,6
157,2024-08-15 11:25:00,Team 1,18,15,9,8,11,7
158,2024-08-15 11:30:00,Team 2,23,9,18,15,7,11
159,2024-08-15 11:35:00,Team 2,23,15,9,8,9,11
160,2024-08-15 11:40:00,Team 2,23,18,9,8,6,11
161,2024-08-15 11:45:00,Team 2,18,15,9,8,11,13
162,2024-08-15 11:50:00,Team 1,18,15,9,8,11,8
163,2024-08-15 11:55:00,Team 1,18,15,9,8,11,6
164,2024-08-15 12:00:00,Team 1,18,15,9,8,11,9
165,2024-08-15 12:05:00,,18,15,9,8,10,9
166,2024-08-15 12:10:00,Team 2,18,15,9,8,9,11
167,2024-08-15 12:15:00,Team 1,18,15,9,8,11,3
168,2024-08-15 12:20:00,Team 2,18,15,9,8,7,11
169,2024-08-16 07:09:00,Team 1,7,30,14,1,12,10
170,2024-08-16 07:10:00,Team 2,30,7,1,2,8,11
171,2024-08-16 07:10:00,Team 2,1,2,12,9,7,11
172,2024-08-16 07:11:00,Team 1,12,9,5,18,11,9
